,id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
1758,9aad622cef10dcd52d0c946bea283d73,krakow,blockOfFlats,90.0,3.0,3.0,5.0,2007.0,50.0705384,19.91763768,2.25,32.0,0.222,0.286,0.218,0.098,0.212,0.253,0.141,condominium,,premium,no,yes,yes,no,no,7900
1759,c707bc5bd32d732aa92261471a1c0881,krakow,blockOfFlats,48.81,2.0,2.0,5.0,2008.0,50.0152,19.8902,5.63,11.0,0.799,0.61,0.592,0.407,0.076,3.768,0.332,condominium,,,no,yes,yes,yes,no,2600
1760,4f5fa6d52b140519be08c935f4dd8d7a,krakow,blockOfFlats,29.0,1.0,2.0,6.0,2022.0,50.0468427,19.9723587,2.6,11.0,0.816,0.682,0.345,0.443,0.235,1.566,0.235,condominium,,premium,no,yes,yes,no,no,2500
1761,223a04bf324975a9dc65ddf7e609ef1c,krakow,blockOfFlats,47.0,2.0,2.0,6.0,2015.0,50.0260056,19.9176594,3.58,21.0,0.144,0.174,0.417,0.15,0.057,2.002,0.252,condominium,brick,premium,yes,yes,yes,no,no,3100
1762,b193f2388f396c4bf817a854cce5e04b,krakow,blockOfFlats,52.0,2.0,2.0,6.0,2009.0,50.07039,19.944831,1.74,32.0,0.333,0.699,0.295,0.618,0.024,0.82,0.263,condominium,,,yes,yes,yes,no,no,4000
1763,346eb9d3dae1de41f4de264ff5f04b26,krakow,blockOfFlats,106.0,4.0,,2.0,2010.0,50.0645627,19.8901813,3.6,0.0,0.795,0.622,0.896,0.992,0.733,0.982,0.737,condominium,,premium,yes,yes,yes,no,no,4500
1764,430b28c4b4c81c9c441dfb4ce9f35517,krakow,blockOfFlats,50.0,2.0,1.0,3.0,2000.0,50.0895477,19.9775708,4.72,10.0,0.536,1.404,0.735,0.207,0.055,1.831,0.135,condominium,brick,,yes,yes,yes,yes,yes,2700
1765,d8b29f57c75eed5835c30731cf44ddc0,krakow,blockOfFlats,65.0,3.0,1.0,4.0,1995.0,50.0826804,19.958724,3.37,10.0,0.324,0.143,0.357,0.435,0.313,2.017,0.408,condominium,brick,,yes,yes,no,no,yes,3000
1766,9fc581c8512a30759b880d8aa34edae0,krakow,apartmentBuilding,27.5,1.0,4.0,6.0,2015.0,50.0441965,19.9463956,1.36,53.0,0.2,0.454,0.32,0.403,0.038,0.699,0.056,condominium,brick,premium,yes,yes,yes,no,no,2100
1767,d4fac7e23d246b3224f9cb891604b0cf,krakow,,42.0,2.0,,3.0,2016.0,50.086644,19.9131176,3.93,22.0,0.083,1.509,0.077,0.139,0.075,1.246,0.217,condominium,,,no,yes,yes,yes,no,3000
1768,1f65ce114f2a49cfe24a76fa93bc985f,krakow,apartmentBuilding,33.0,1.0,,5.0,2022.0,50.0605,19.9417,0.62,171.0,0.167,0.506,0.134,0.217,0.072,0.496,0.134,condominium,brick,,no,yes,yes,no,no,3000
1769,f9a1205c1a99cf448292184018c837cf,krakow,blockOfFlats,45.0,2.0,7.0,8.0,1985.0,50.088401,19.9330165,3.7,19.0,0.362,0.22,0.518,0.369,0.078,0.582,0.107,condominium,brick,premium,no,yes,yes,no,no,2100
1770,bd7489a66ac5ba20864ea818b3a82f9c,krakow,tenement,85.0,3.0,1.0,1.0,1900.0,50.0602,19.9375,0.55,196.0,0.316,0.556,0.105,0.413,0.004,0.465,0.101,condominium,brick,premium,no,yes,no,no,no,4900
1771,b4ff1d0d01671e8fe318efc50b866a63,krakow,blockOfFlats,45.0,2.0,1.0,3.0,2009.0,50.044001,19.9068125,2.58,1.0,1.101,1.445,1.265,1.042,0.406,0.708,0.592,condominium,,premium,no,yes,no,no,yes,3100
1772,f96d47dd9247b8c2ca0cfabafdef642a,krakow,,50.0,2.0,3.0,4.0,2005.0,50.014,19.9592,4.83,7.0,0.431,0.64,0.37,0.571,0.361,0.853,0.376,condominium,,,no,no,,no,no,2800
1773,522f7b76cf10097dd2d05aecb97a74b7,krakow,blockOfFlats,40.5,2.0,2.0,4.0,1970.0,50.082508,20.019944,6.56,21.0,0.219,1.131,0.148,0.043,0.375,1.18,0.09,condominium,,,no,yes,no,no,yes,2000
1774,aa5ec86d9530dfe4af23aeddcae5d3e6,krakow,blockOfFlats,37.0,2.0,2.0,5.0,2023.0,50.0236,19.9689,4.14,4.0,0.294,0.91,0.58,0.36,0.32,2.068,0.614,condominium,,,yes,yes,yes,yes,no,3000
1775,2d8c4a0ff5febb72646b6043b2d7f944,krakow,apartmentBuilding,40.0,2.0,1.0,7.0,2023.0,50.02662,19.95911,3.51,3.0,0.611,0.51,0.631,0.474,0.429,2.254,0.49,condominium,brick,,no,yes,yes,no,no,2800
1776,9ebf89f7980078f89c9efd2af5cf84e4,krakow,blockOfFlats,30.0,1.0,4.0,8.0,2005.0,50.0880445,19.9381226,3.64,19.0,0.284,0.282,0.55,0.316,0.159,0.769,0.058,condominium,,,yes,yes,yes,no,no,2300
1777,945f9a7a8adbf8d0ab6fc4605cf36eb4,krakow,tenement,33.0,1.0,1.0,2.0,1910.0,50.06378775,19.93545301,0.97,188.0,0.12,0.14,0.228,0.433,0.048,0.207,0.138,condominium,brick,premium,no,no,no,no,no,2600
1778,e3d397b0cc0f56dc6334d5cd0bde50b1,krakow,apartmentBuilding,30.0,1.0,3.0,5.0,2015.0,50.0512,19.9383,0.46,87.0,0.211,0.514,0.178,0.178,0.054,0.333,0.224,condominium,brick,,no,yes,yes,yes,no,2900
